Position(mm)	Field(T)
20.799999999999955	-0.00265057
21.	-0.00266657
21.200000000000045	-0.002684571
21.40000000000009	-0.002701571
21.59999999999991	-0.002714572
21.799999999999955	-0.002736572
22.	-0.002748572
22.200000000000045	-0.002765573
22.40000000000009	-0.002784573
22.59999999999991	-0.002799574
22.799999999999955	-0.002822574
23.	-0.002834575
23.200000000000045	-0.002848575
23.40000000000009	-0.002868576
23.59999999999991	-0.002886576
23.799999999999955	-0.002911577
24.	-0.002921577
24.200000000000045	-0.002945578
24.40000000000009	-0.002965578
24.59999999999991	-0.002984579
24.799999999999955	-0.002999579
25.	-0.003020579
25.200000000000045	-0.00303558
25.40000000000009	-0.00305858
25.59999999999991	-0.003080581
25.799999999999955	-0.003099581
26.	-0.003114582
26.200000000000045	-0.003138582
26.40000000000009	-0.003148583
26.59999999999991	-0.003179583
26.799999999999955	-0.003197584
27.	-0.003219584
27.200000000000045	-0.003237585
27.40000000000009	-0.003256585
27.59999999999991	-0.003276586
27.799999999999955	-0.003301586
28.	-0.003323587
28.200000000000045	-0.003345587
28.40000000000009	-0.003363587
28.59999999999991	-0.003384588
28.799999999999955	-0.003406588
29.	-0.003427589
29.200000000000045	-0.003452589
29.40000000000009	-0.00347159
29.59999999999991	-0.00349859
29.799999999999955	-0.003515591
30.	-0.003542591
30.200000000000045	-0.003562592
30.40000000000009	-0.003585592
30.59999999999991	-0.003611593
30.799999999999955	-0.003635593
31.	-0.003651594
31.200000000000045	-0.003680594
31.40000000000009	-0.003705594
31.59999999999991	-0.003733595
31.799999999999955	-0.003750595
32.	-0.003773596
32.200000000000045	-0.003801596
32.40000000000009	-0.003832597
32.59999999999991	-0.003850597
32.799999999999955	-0.003877598
33.	-0.003903598
33.200000000000045	-0.003932599
33.40000000000009	-0.003948599
33.59999999999991	-0.0039806
33.799999999999955	-0.0040116
34.	-0.004035601
34.200000000000045	-0.004061601
34.40000000000009	-0.004089602
34.59999999999991	-0.004113602
34.799999999999955	-0.004140602
35.	-0.004169603
35.200000000000045	-0.004196603
35.40000000000009	-0.004219604
35.59999999999991	-0.004257604
35.799999999999955	-0.004281605
36.	-0.004311605
36.200000000000045	-0.004343606
36.40000000000009	-0.004366606
36.59999999999991	-0.004397607
36.799999999999955	-0.004434607
37.	-0.004455608
37.200000000000045	-0.004482608
37.40000000000009	-0.004516609
37.59999999999991	-0.004544609
37.799999999999955	-0.004579609
38.	-0.00460761
38.200000000000045	-0.00463361
38.40000000000009	-0.004667611
38.59999999999991	-0.004700611
38.799999999999955	-0.004736612
39.	-0.004764612
39.200000000000045	-0.004794613
39.40000000000009	-0.004828613
39.59999999999991	-0.004865614
39.799999999999955	-0.004896614
40.	-0.004929615
40.200000000000045	-0.004967615
40.40000000000009	-0.004998616
40.59999999999991	-0.005036616
40.799999999999955	-0.005072617
41.	-0.005100617
41.200000000000045	-0.005134617
41.40000000000009	-0.005174618
41.59999999999991	-0.005208618
41.799999999999955	-0.005246619
42.	-0.005284619
42.200000000000045	-0.00532062
42.40000000000009	-0.00535362
42.59999999999991	-0.005390621
42.799999999999955	-0.005428621
43.	-0.005466622
43.200000000000045	-0.005498622
43.40000000000009	-0.005537623
43.59999999999991	-0.005577623
43.799999999999955	-0.005623624
44.	-0.005662624
44.200000000000045	-0.005698624
44.40000000000009	-0.005735625
44.59999999999991	-0.005781625
44.799999999999955	-0.005818626
45.	-0.005862626
45.200000000000045	-0.005901627
45.40000000000009	-0.005937627
45.59999999999991	-0.005984628
45.799999999999955	-0.006032628
46.	-0.006071629
46.200000000000045	-0.006109629
46.40000000000009	-0.00615063
46.59999999999991	-0.00620163
46.799999999999955	-0.006244631
47.	-0.006288631
47.200000000000045	-0.006334632
47.40000000000009	-0.006379632
47.59999999999991	-0.006422632
47.799999999999955	-0.006468633
48.	-0.006514633
48.200000000000045	-0.006563634
48.40000000000009	-0.006612634
48.59999999999991	-0.006662635
48.799999999999955	-0.006701635
49.	-0.006748636
49.200000000000045	-0.006804636
49.40000000000009	-0.006849637
49.59999999999991	-0.006902637
49.799999999999955	-0.006952638
50.	-0.007000638
50.200000000000045	-0.007047639
